tyd    u    v    psl
01Z30JAN2015    3.85043    -7.26734    1010.39
02Z30JAN2015    3.58472    -8.77768    1010.39
03Z30JAN2015    3.42157    -8.79632    1008.52
04Z30JAN2015    2.6664    -8.38611    1010.35
05Z30JAN2015    3.18849    -6.58209    1012.67
06Z30JAN2015    4.46109    -8.35814    1009.65
07Z30JAN2015    1.58958    -9.15992    1010.03
08Z30JAN2015    3.94832    -8.22295    1005.23
09Z30JAN2015    3.22578    -7.19275    1001.51
10Z30JAN2015    5.79895    -6.17654    1010.98
11Z30JAN2015    4.13478    -7.0902    1019.49
12Z30JAN2015    7.10885    -7.82672    1024.47
13Z30JAN2015    5.79429    -6.75457    1024.81
14Z30JAN2015    5.86888    -7.97123    1021.68
15Z30JAN2015    2.02777    -6.25578    1011.65
16Z30JAN2015    5.02514    -4.95522    1008.09
17Z30JAN2015    4.18606    -5.8176    1004.13
18Z30JAN2015    2.12566    -2.2422    996.799
19Z30JAN2015    3.52878    -1.54297    987.706
20Z30JAN2015    3.44488    -1.29125    994.692
21Z30JAN2015    -0.358938    0.922985    1005.3
22Z30JAN2015    1.94852    -0.228415    1012.24
23Z30JAN2015    0.428862    -3.96231    1010.64
00Z31JAN2015    2.67572    -2.21423    1008.88
01Z31JAN2015    1.43109    0.964938    1009.19
02Z31JAN2015    -0.191123    0.974262    1014.94
03Z31JAN2015    0.279692    2.37738    1021.52
04Z31JAN2015    -0.680585    1.56162    1021.95
05Z31JAN2015    0.0745846    1.72011    1018.45
06Z31JAN2015    0.368262    2.26085    1017.12
07Z31JAN2015    0.820431    3.80382    1015.5
08Z31JAN2015    -1.212    4.68485    1014.94
09Z31JAN2015    -1.14674    6.92238    1013.3
10Z31JAN2015    0.321646    6.88975    1011.91
11Z31JAN2015    0.0699231    7.13682    1012.66
12Z31JAN2015    -0.233077    7.272    1017.91
13Z31JAN2015    -0.237738    7.18809    1020.18
14Z31JAN2015    0.536077    7.09952    1017.68
15Z31JAN2015    0.0885692    8.11108    1012.65
16Z31JAN2015    0.0978923    8.67978    1010.26
17Z31JAN2015    1.48237    7.62628    1006.35
18Z31JAN2015    2.59648    6.91306    1008.84
19Z31JAN2015    3.19782    7.97123    1014.95
20Z31JAN2015    3.37962    8.74505    1019.13
21Z31JAN2015    3.77585    7.9992    1018.39
22Z31JAN2015    3.41225    8.50265    1017.6
23Z31JAN2015    3.636    9.17391    1017.32
00Z01FEB2015    4.03689    8.91286    1018.47
01Z01FEB2015    4.15343    8.35814    1017.09
02Z01FEB2015    4.05554    8.07378    1017.42
03Z01FEB2015    4.47508    8.25558    1015.69
04Z01FEB2015    4.73612    8.21363    1013.84
05Z01FEB2015    4.73146    7.71951    1012.56
06Z01FEB2015    2.33543    8.16235    1009.57
07Z01FEB2015    0.792462    9.12729    1004.14
08Z01FEB2015    0.0279692    9.81254    1001.19
09Z01FEB2015    0.391569    9.85449    1002.74
10Z01FEB2015    0.475477    10.1808    1007.94
11Z01FEB2015    0.303    9.999    1010.81
12Z01FEB2015    0.284354    9.80788    1009.66
13Z01FEB2015    0.708554    9.97103    1005.76
14Z01FEB2015    0.936969    10.0503    1003.56
15Z01FEB2015    0.778477    9.65871    1001.63
16Z01FEB2015    2.53122    8.50731    1000.18
17Z01FEB2015    3.09992    7.31862    999.528
18Z01FEB2015    4.26065    6.50751    1000.94
19Z01FEB2015    4.40049    6.85246    1002.24
20Z01FEB2015    6.13925    7.04825    1003.91
21Z01FEB2015    6.57277    6.95502    1005.36
22Z01FEB2015    6.39563    7.29065    1007.02
23Z01FEB2015    6.01338    7.32328    1007.28
00Z02FEB2015    5.50528    7.31395    1008.04
01Z02FEB2015    5.73369    7.47711    1007.41
02Z02FEB2015    4.67086    6.75457    1006.67
03Z02FEB2015    4.32125    6.58675    1003.87
04Z02FEB2015    3.25842    6.56345    1001.96
05Z02FEB2015    2.77362    5.64512    998.776
06Z02FEB2015    1.66883    4.41914    997.29
07Z02FEB2015    0.135185    3.47285    997.762
08Z02FEB2015    -0.550062    1.818    1000.9
09Z02FEB2015    -0.601338    0.251723    1003.14
10Z02FEB2015    -0.284354    -0.368262    1004.26
11Z02FEB2015    -0.853062    2.97872    1005.77
