tyd    u    v    psl
01Z30JAN2015    -1.3938    -1.92055    1009.72
02Z30JAN2015    -0.997569    -1.71545    1009.89
03Z30JAN2015    0.661938    0.195785    1007.52
04Z30JAN2015    -2.00912    -2.33077    1009.44
05Z30JAN2015    -0.312323    -1.35185    1011.64
06Z30JAN2015    -0.582692    -0.904338    1008.03
07Z30JAN2015    0.745846    -1.212    1008.89
08Z30JAN2015    1.42177    -2.07905    1003.9
09Z30JAN2015    4.79672    -4.22802    999.621
10Z30JAN2015    6.3024    -2.3634    1009.1
11Z30JAN2015    9.96637    -7.56568    1017.06
12Z30JAN2015    9.21586    -6.86645    1022.82
13Z30JAN2015    6.85712    -6.87111    1023.31
14Z30JAN2015    4.95522    -5.56122    1020.5
15Z30JAN2015    4.63823    -1.99514    1010.65
16Z30JAN2015    7.31395    -4.08351    1007.68
17Z30JAN2015    2.6664    -0.517431    1003.91
18Z30JAN2015    5.89218    0.149169    995.73
19Z30JAN2015    -0.452169    -1.56628    986.917
20Z30JAN2015    -1.06749    -2.96008    993.965
21Z30JAN2015    -0.316985    -1.63154    1004.77
22Z30JAN2015    -1.98582    -1.72011    1011.59
23Z30JAN2015    -1.25862    -1.86462    1009.84
00Z31JAN2015    -0.195785    -1.87394    1008.29
01Z31JAN2015    -1.06283    -1.41245    1008.65
02Z31JAN2015    -1.80402    -2.47062    1013.91
03Z31JAN2015    2.06972    0.974262    1020.33
04Z31JAN2015    -2.62911    -2.07438    1021.43
05Z31JAN2015    -1.42643    -1.71545    1018.36
06Z31JAN2015    0.825092    1.11411    1017.23
07Z31JAN2015    0.289015    3.31435    1015.51
08Z31JAN2015    1.17471    4.95988    1014.7
09Z31JAN2015    1.43109    5.64512    1013.61
10Z31JAN2015    1.38448    6.25578    1011.83
11Z31JAN2015    1.29591    6.51683    1012.85
12Z31JAN2015    1.38914    6.65202    1017.63
13Z31JAN2015    1.29125    6.00872    1020.21
14Z31JAN2015    1.11411    5.84557    1017.86
15Z31JAN2015    1.10478    6.35834    1012.95
16Z31JAN2015    0.685246    7.22538    1010.76
17Z31JAN2015    1.17937    6.76389    1006.48
18Z31JAN2015    0.881031    6.29308    1009.16
19Z31JAN2015    -0.0699231    4.86198    1015.34
20Z31JAN2015    -0.163154    2.8482    1019.65
21Z31JAN2015    0.0792462    1.43109    1018.54
22Z31JAN2015    -1.23065    0.694569    1018.18
23Z31JAN2015    -0.205108    -2.05574    1017.71
00Z01FEB2015    1.17005    0.811108    1018.91
01Z01FEB2015    -1.35185    -0.997569    1017.86
02Z01FEB2015    -2.79692    -1.85529    1018.37
03Z01FEB2015    -3.00669    -1.94386    1016.48
04Z01FEB2015    -2.64775    -2.33077    1014.38
05Z01FEB2015    -1.06749    -2.7876    1013.35
06Z01FEB2015    -3.16052    -0.349615    1010.34
07Z01FEB2015    -3.41225    1.47771    1004.65
08Z01FEB2015    -3.25842    3.60337    1001.39
09Z01FEB2015    -2.74565    5.37942    1003.32
10Z01FEB2015    -2.93211    5.78031    1007.7
11Z01FEB2015    -3.00669    5.64046    1011.03
12Z01FEB2015    -3.18383    5.90617    1009.86
13Z01FEB2015    -3.28172    6.35834    1006.04
14Z01FEB2015    -3.5148    6.666    1003.95
15Z01FEB2015    -3.24909    5.95745    1001.73
16Z01FEB2015    -2.9694    5.37475    1000.31
17Z01FEB2015    -2.45663    4.31192    999.497
18Z01FEB2015    0.163154    1.16538    1001.01
19Z01FEB2015    -1.72477    -1.34718    1003.17
20Z01FEB2015    -1.97183    -0.0419538    1004.85
21Z01FEB2015    -4.59628    -1.515    1006.79
22Z01FEB2015    -3.48217    -1.60823    1009.06
23Z01FEB2015    -3.24443    -2.75963    1008.79
00Z02FEB2015    -2.27017    -2.42866    1008.96
01Z02FEB2015    -1.52898    -1.85995    1008.75
02Z02FEB2015    -0.0279692    -1.38914    1007.12
03Z02FEB2015    -0.0699231    -2.65242    1004.62
04Z02FEB2015    -0.685246    -3.64532    1002.47
05Z02FEB2015    -0.736523    -2.50791    999.627
06Z02FEB2015    -1.22132    -1.47305    997.532
07Z02FEB2015    -1.05351    -0.815769    998.142
08Z02FEB2015    -1.30989    0.326308    1000.52
09Z02FEB2015    -1.35185    -0.596677    1002.47
10Z02FEB2015    0.125862    2.22822    1004
11Z02FEB2015    2.8482    4.10682    1005.41
12Z02FEB2015    2.13965    5.08108    1006.68
13Z02FEB2015    1.8786    5.86888    1007.25
14Z02FEB2015    1.58026    6.32105    1006.27
15Z02FEB2015    1.54297    6.52615    1004.46
16Z02FEB2015    1.72011    6.04135    1003.7
17Z02FEB2015    1.73409    4.545    1004.16
18Z02FEB2015    2.23754    4.09283    1004.08
19Z02FEB2015    0.988246    1.44974    1003.85
20Z02FEB2015    2.17694    1.37515    1002.96
21Z02FEB2015    1.95785    1.23065    1002.45
22Z02FEB2015    1.23531    0.7878    1002.83
23Z02FEB2015    0.433523    -1.42177    1004.08
00Z03FEB2015    0.428862    -1.34252    1004.36
01Z31JAN2015    -1.03486    -3.30503    1012.6
02Z31JAN2015    -0.713215    -2.81557    1011.98
03Z31JAN2015    1.22132    1.11411    1012.73
04Z31JAN2015    3.23977    -3.13722    1010.21
05Z31JAN2015    6.05068    0.200446    1016.19
06Z31JAN2015    1.99048    3.4542    1013.01
07Z31JAN2015    4.91326    -0.102554    1011.01
08Z31JAN2015    5.6358    0.177138    1013.26
09Z31JAN2015    6.49818    3.07662    1019.07
10Z31JAN2015    6.04135    3.47285    1024.84
11Z31JAN2015    5.92482    2.61978    1027.44
12Z31JAN2015    6.70795    2.14897    1028.75
13Z31JAN2015    4.55898    2.87151    1025.68
14Z31JAN2015    1.71078    3.08128    1023.92
15Z31JAN2015    1.22598    3.30969    1020.39
16Z31JAN2015    0.340292    3.2724    1016.22
17Z31JAN2015    1.11877    3.88306    1014.03
18Z31JAN2015    0.825092    2.87151    1008.27
19Z31JAN2015    -0.741185    -1.38914    1003.56
20Z31JAN2015    -0.177138    -0.708554    1003.09
21Z31JAN2015    -3.12323    -2.33077    1008.48
22Z31JAN2015    -2.79226    -2.66174    1012.97
23Z31JAN2015    -2.65242    -2.4846    1013.56
