tyd    u    v    psl
01Z30JAN2015    3.84111    -5.9388    1010.28
02Z30JAN2015    4.39583    -6.07865    1010.16
03Z30JAN2015    5.35611    -6.12992    1008.07
04Z30JAN2015    7.38854    -7.14148    1010.28
05Z30JAN2015    8.17168    -5.757    1012.3
06Z30JAN2015    5.64978    -5.24889    1009.93
07Z30JAN2015    5.80828    -3.95298    1010.06
08Z30JAN2015    6.07865    -5.12303    1005.61
09Z30JAN2015    5.9388    -3.81314    1002.14
10Z30JAN2015    6.72194    -4.43312    1011.4
11Z30JAN2015    4.40049    -1.29591    1019.9
12Z30JAN2015    4.12546    -2.05108    1025.23
13Z30JAN2015    4.62425    -1.78071    1025.38
14Z30JAN2015    4.4238    -2.41002    1022.31
15Z30JAN2015    4.50771    -2.46129    1012
16Z30JAN2015    6.16255    2.05574    1008.77
17Z30JAN2015    7.51906    -1.10478    1004.59
18Z30JAN2015    8.77302    -4.33523    996.389
19Z30JAN2015    8.2416    -4.03689    987.538
20Z30JAN2015    6.58209    -6.29774    994.332
21Z30JAN2015    7.63094    -3.67795    1005.08
22Z30JAN2015    6.19052    -3.18849    1012
23Z30JAN2015    2.72234    -1.92522    1010.17
00Z31JAN2015    5.757    -3.84111    1008.88
01Z31JAN2015    6.54946    -4.29328    1008.84
02Z31JAN2015    10.1435    -3.99494    1014.39
03Z31JAN2015    3.14188    -2.93677    1021
04Z31JAN2015    1.25395    0.480138    1021.69
05Z31JAN2015    1.25862    0.881031    1018.44
06Z31JAN2015    3.67795    2.14431    1017.31
07Z31JAN2015    3.29571    2.11168    1015.99
08Z31JAN2015    1.43575    2.37738    1015.35
09Z31JAN2015    0.853062    2.75497    1013.54
10Z31JAN2015    -1.24929    1.59891    1012.46
11Z31JAN2015    0.330969    3.25842    1013.28
12Z31JAN2015    1.48237    4.20471    1018.33
13Z31JAN2015    1.60823    3.86442    1020.64
14Z31JAN2015    0.1818    3.00669    1018.12
15Z31JAN2015    1.44042    4.05088    1013.39
16Z31JAN2015    -0.922985    1.16538    1010.78
17Z31JAN2015    -4.95522    0.801785    1006.55
