tyd    u    v    psl
01Z30JAN2015    0.447508    -4.91326    1009.27
02Z30JAN2015    0.293677    -3.68262    1010.03
03Z30JAN2015    1.50102    -4.39117    1007.36
04Z30JAN2015    2.01845    -3.939    1008.86
05Z30JAN2015    2.03709    -3.48217    1011.87
06Z30JAN2015    1.47305    -4.54966    1008.23
07Z30JAN2015    4.13478    -3.08128    1009.39
08Z30JAN2015    4.4844    -3.24443    1004.11
09Z30JAN2015    4.56365    -3.30503    1000.41
10Z30JAN2015    5.8782    -3.07662    1009.75
11Z30JAN2015    7.68688    -3.06263    1017.97
12Z30JAN2015    6.89442    -2.11634    1023.76
13Z30JAN2015    7.3932    -3.00669    1023.9
14Z30JAN2015    8.38145    -3.14654    1021.02
15Z30JAN2015    8.6658    -3.38894    1010.64
16Z30JAN2015    6.70329    -2.80625    1007.6
17Z30JAN2015    3.16518    -2.19092    1003.85
18Z30JAN2015    2.56851    -4.72214    995.96
19Z30JAN2015    2.56385    -3.67795    986.631
20Z30JAN2015    1.89258    -1.15606    993.76
21Z30JAN2015    4.20005    -0.722538    1004
22Z30JAN2015    2.36806    -2.86685    1010.92
23Z30JAN2015    1.80868    -2.67572    1009.63
00Z31JAN2015    1.35651    -2.22355    1008.03
01Z31JAN2015    1.8786    -2.00446    1008.04
02Z31JAN2015    1.515    -2.94143    1013.76
03Z31JAN2015    0.228415    -2.27483    1019.75
04Z31JAN2015    0.0419538    -2.75031    1020.85
05Z31JAN2015    1.33786    -1.59425    1017.04
06Z31JAN2015    1.73409    -0.158492    1015.51
07Z31JAN2015    0.564046    1.03952    1013.8
08Z31JAN2015    -0.0186462    2.43332    1013.13
09Z31JAN2015    0.582692    4.10682    1010.93
10Z31JAN2015    2.50791    5.07642    1009.69
11Z31JAN2015    2.76895    3.15586    1010.35
12Z31JAN2015    2.65242    3.25842    1015.65
13Z31JAN2015    3.6966    1.79003    1017.71
14Z31JAN2015    2.84354    1.56628    1015.14
15Z31JAN2015    2.02777    4.33523    1010.6
16Z31JAN2015    -0.251723    4.20937    1008.25
17Z31JAN2015    -2.50791    3.11857    1004.42
18Z31JAN2015    -6.37232    2.35408    1006.56
19Z31JAN2015    -6.51683    1.74808    1012.44
20Z31JAN2015    -6.67066    0.540738    1017.15
21Z31JAN2015    -4.65222    0.997569    1015.86
22Z31JAN2015    -6.4236    0.358938    1015.27
23Z31JAN2015    -6.53548    1.30989    1014.88
00Z01FEB2015    -6.23714    1.58492    1016.12
01Z01FEB2015    -6.33503    1.93454    1015.45
02Z01FEB2015    -5.06709    2.17694    1015.89
03Z01FEB2015    -5.16498    1.72011    1013.29
04Z01FEB2015    -5.71505    2.42866    1011.72
05Z01FEB2015    -4.57763    1.73875    1010.66
06Z01FEB2015    -3.79449    2.38671    1007.81
07Z01FEB2015    -3.54277    5.16965    1002.52
08Z01FEB2015    -3.18383    3.30969    999.776
09Z01FEB2015    -4.00426    3.11857    1001.04
10Z01FEB2015    -6.15789    1.44042    1005.44
11Z01FEB2015    -6.82449    2.48926    1008.72
12Z01FEB2015    -7.68688    2.49858    1008.16
13Z01FEB2015    -8.46535    3.41225    1003.49
14Z01FEB2015    -8.39077    4.68018    1001
15Z01FEB2015    -8.44205    4.44711    999.267
16Z01FEB2015    -8.16235    1.54297    997.986
17Z01FEB2015    -6.46555    1.02088    997.943
18Z01FEB2015    -7.47711    2.60114    999.758
19Z01FEB2015    -6.40029    2.88549    1000.84
20Z01FEB2015    -6.26977    3.31435    1002.34
21Z01FEB2015    -7.64958    3.44022    1004.61
22Z01FEB2015    -8.55392    2.88549    1005.97
23Z01FEB2015    -7.95725    2.96474    1005.9
00Z02FEB2015    -7.23005    2.85286    1006.2
01Z02FEB2015    -5.64512    1.44508    1006
02Z02FEB2015    -5.40272    1.30989    1005.05
03Z02FEB2015    -3.5148    0.452169    1002.88
04Z02FEB2015    -1.08148    1.80402    1000.9
05Z02FEB2015    0.135185    2.55918    998.166
06Z02FEB2015    0.578031    1.23997    996.01
07Z02FEB2015    1.10478    1.28658    996.588
08Z02FEB2015    1.23531    2.89015    999.82
09Z02FEB2015    1.85529    2.00912    1001.88
10Z02FEB2015    2.727    2.75963    1003.41
11Z02FEB2015    3.17917    2.78294    1004.67
12Z02FEB2015    3.64998    1.82266    1005.59
13Z02FEB2015    3.70126    2.44731    1005.76
14Z02FEB2015    3.79915    3.06729    1005.11
15Z02FEB2015    2.77828    3.46818    1002.88
16Z02FEB2015    2.70369    4.39117    1002.78
17Z02FEB2015    -1.29125    3.08128    1003.52
18Z02FEB2015    -2.62445    2.80625    1002.41
19Z02FEB2015    -2.47062    3.43555    1001.83
20Z02FEB2015    -2.73166    3.20714    1001.42
21Z02FEB2015    -2.51257    3.30503    1000.96
22Z02FEB2015    -1.89258    3.19315    1001.44
23Z02FEB2015    -1.70146    1.72477    1002.62
00Z03FEB2015    -1.30523    3.78983    1002.73
01Z31JAN2015    0.694569    -4.40515    1013.24
02Z31JAN2015    -1.49635    -4.38185    1012.28
03Z31JAN2015    1.37049    -6.22782    1012.51
04Z31JAN2015    3.69194    -5.72903    1010.75
05Z31JAN2015    1.41245    -2.19558    1016.19
06Z31JAN2015    0.643292    -2.06506    1012.69
07Z31JAN2015    2.58249    -1.4544    1010.69
08Z31JAN2015    3.99028    0.456831    1012.41
09Z31JAN2015    4.07885    1.59425    1018.71
10Z31JAN2015    3.84111    1.65018    1024.54
11Z31JAN2015    3.66863    1.06749    1026.9
12Z31JAN2015    4.31658    1.02088    1028.63
13Z31JAN2015    3.78517    1.37049    1024.69
14Z31JAN2015    3.72457    1.64552    1022.31
15Z31JAN2015    3.26774    1.26794    1018.58
16Z31JAN2015    2.21423    1.515    1013.98
17Z31JAN2015    -3.08128    2.79226    1012.05
18Z31JAN2015    -5.23957    1.98582    1005.51
19Z31JAN2015    -8.44205    2.84354    1000.72
20Z31JAN2015    -9.73795    7.66357    1000.53
21Z31JAN2015    -9.25315    2.92278    1004.96
22Z31JAN2015    -10.7355    8.34882    1008.42
23Z31JAN2015    -9.60277    3.06263    1009.32
00Z01FEB2015    -4.6056    1.51966    1010.72
01Z01FEB2015    -0.0559385    2.65242    1014.78
02Z01FEB2015    -0.778477    1.46372    1017.07
03Z01FEB2015    -1.58958    1.95785    1019.73
04Z01FEB2015    -0.559385    4.64289    1020.87
05Z01FEB2015    -2.05108    3.78983    1020.71
06Z01FEB2015    -4.37718    2.121    1019.61
07Z01FEB2015    -4.23268    2.86218    1020.29
08Z01FEB2015    -3.96231    2.99271    1020.8
09Z01FEB2015    -4.37718    2.1816    1018.02
10Z01FEB2015    -4.65688    1.93454    1015.51
11Z01FEB2015    -6.51217    3.09992    1013.33
12Z01FEB2015    -6.75457    2.59182    1012.52
13Z01FEB2015    -5.62648    1.28192    1011.44
14Z01FEB2015    -5.47731    1.35651    1010.59
15Z01FEB2015    -7.73349    2.25618    1008.06
16Z01FEB2015    -7.43049    3.43555    1006.23
17Z01FEB2015    -11.2296    8.58189    1005.03
18Z01FEB2015    -13.3227    7.65425    1006.5
19Z01FEB2015    -12.0547    2.61512    1008.32
20Z01FEB2015    -12.4883    10.4791    1011.58
21Z01FEB2015    -14.8144    6.83382    1012.07
22Z01FEB2015    -14.5533    7.18809    1011.14
23Z01FEB2015    -10.4092    11.3369    1012.34
00Z02FEB2015    -9.09466    0.633969    1012.06
01Z02FEB2015    -9.46292    2.15829    1010.55
02Z02FEB2015    -7.82672    2.08837    1009.07
03Z02FEB2015    -7.24869    2.2422    1006.5
04Z02FEB2015    -5.72903    2.43798    1004.26
05Z02FEB2015    -4.72214    2.121    1002.78
06Z02FEB2015    -1.94852    4.44711    1001.11
07Z02FEB2015    -3.48217    7.29997    999.285
08Z02FEB2015    -1.7574    5.01115    997.719
09Z02FEB2015    -2.26085    6.60074    997.912
10Z02FEB2015    -2.121    5.0904    999.907
11Z02FEB2015    -1.95785    3.67329    1000.75
12Z02FEB2015    -1.82266    2.23288    1000.49
13Z02FEB2015    -2.90414    1.00223    999.049
14Z02FEB2015    -3.64998    3.3936    997.986
15Z02FEB2015    -1.77605    6.01338    997.75
16Z02FEB2015    -2.55918    5.26288    998.67
17Z02FEB2015    -3.24909    5.04378    998.602
18Z02FEB2015    -1.66883    3.86908    1000.5
19Z02FEB2015    -4.56365    4.01358    1001.89
20Z02FEB2015    -6.41428    2.23754    1003.71
21Z02FEB2015    -6.40029    2.03243    1003.16
22Z02FEB2015    -6.969    2.33543    1003.14
23Z02FEB2015    -6.01338    2.02311    1002.85
00Z03FEB2015    -4.13012    2.66174    1001.58
01Z03FEB2015    -5.50062    1.79935    1000.25
02Z03FEB2015    -4.3026    1.83198    998.651
03Z03FEB2015    -1.81334    1.12343    996.967
04Z03FEB2015    1.21666    1.10012    995.873
05Z03FEB2015    -0.0279692    -0.829754    995.196
06Z03FEB2015    2.2422    -1.08614    995.425
