join_id,magnitude,direction,UVDAMS,z-coordinate
1_1,999.999023,999.999023,999.999023,999.999023
2_1,999.999023,999.999023,999.999023,999.999023
3_1,999.999023,999.999023,999.999023,999.999023
4_1,999.999023,999.999023,999.999023,999.999023
5_1,999.999023,999.999023,999.999023,999.999023
6_1,999.999023,999.999023,999.999023,999.999023
7_1,999.999023,999.999023,999.999023,999.999023
8_1,999.999023,999.999023,999.999023,999.999023
9_1,999.999023,999.999023,999.999023,999.999023
10_1,999.999023,999.999023,999.999023,999.999023
11_1,999.999023,999.999023,999.999023,999.999023
12_1,999.999023,999.999023,999.999023,999.999023
13_1,999.999023,999.999023,999.999023,999.999023
14_1,999.999023,999.999023,999.999023,999.999023
15_1,999.999023,999.999023,999.999023,999.999023
16_1,999.999023,999.999023,999.999023,999.999023
17_1,999.999023,999.999023,999.999023,999.999023
18_1,999.999023,999.999023,999.999023,999.999023
19_1,999.999023,999.999023,999.999023,999.999023
20_1,999.999023,999.999023,999.999023,999.999023
21_1,999.999023,999.999023,999.999023,999.999023
22_1,999.999023,999.999023,999.999023,999.999023
23_1,999.999023,999.999023,999.999023,999.999023
24_1,999.999023,999.999023,999.999023,999.999023
25_1,999.999023,999.999023,999.999023,999.999023
26_1,999.999023,999.999023,999.999023,999.999023
27_1,999.999023,999.999023,999.999023,999.999023
28_1,999.999023,999.999023,999.999023,999.999023
29_1,999.999023,999.999023,999.999023,999.999023
30_1,999.999023,999.999023,999.999023,999.999023
31_1,999.999023,999.999023,999.999023,999.999023
32_1,999.999023,999.999023,999.999023,999.999023
33_1,999.999023,999.999023,999.999023,999.999023
34_1,999.999023,999.999023,999.999023,999.999023
35_1,999.999023,999.999023,999.999023,999.999023
36_1,999.999023,999.999023,999.999023,999.999023
37_1,999.999023,999.999023,999.999023,999.999023
38_1,999.999023,999.999023,999.999023,999.999023
39_1,999.999023,999.999023,999.999023,999.999023
40_1,999.999023,999.999023,999.999023,999.999023
41_1,999.999023,999.999023,999.999023,999.999023
42_1,999.999023,999.999023,999.999023,999.999023
43_1,999.999023,999.999023,999.999023,999.999023
44_1,999.999023,999.999023,999.999023,999.999023
45_1,999.999023,999.999023,999.999023,999.999023
46_1,999.999023,999.999023,999.999023,999.999023
47_1,999.999023,999.999023,999.999023,999.999023
48_1,999.999023,999.999023,999.999023,999.999023
49_1,999.999023,999.999023,999.999023,999.999023
50_1,999.999023,999.999023,999.999023,999.999023
51_1,999.999023,999.999023,999.999023,999.999023
52_1,999.999023,999.999023,999.999023,999.999023
53_1,999.999023,999.999023,999.999023,999.999023
54_1,999.999023,999.999023,999.999023,999.999023
55_1,999.999023,999.999023,999.999023,999.999023
56_1,999.999023,999.999023,999.999023,999.999023
57_1,999.999023,999.999023,999.999023,999.999023
58_1,999.999023,999.999023,999.999023,999.999023
59_1,999.999023,999.999023,999.999023,999.999023
60_1,999.999023,999.999023,999.999023,999.999023
61_1,999.999023,999.999023,999.999023,999.999023
62_1,999.999023,999.999023,999.999023,999.999023
63_1,999.999023,999.999023,999.999023,999.999023
64_1,999.999023,999.999023,999.999023,999.999023
65_1,999.999023,999.999023,999.999023,999.999023
66_1,999.999023,999.999023,999.999023,999.999023
67_1,999.999023,999.999023,999.999023,999.999023
68_1,999.999023,999.999023,999.999023,999.999023
69_1,999.999023,999.999023,999.999023,999.999023
70_1,999.999023,999.999023,999.999023,999.999023
71_1,999.999023,999.999023,999.999023,999.999023
72_1,999.999023,999.999023,999.999023,999.999023
73_1,999.999023,999.999023,999.999023,999.999023
74_1,999.999023,999.999023,999.999023,999.999023
75_1,999.999023,999.999023,999.999023,999.999023
76_1,999.999023,999.999023,999.999023,999.999023
77_1,999.999023,999.999023,999.999023,999.999023
78_1,999.999023,999.999023,999.999023,999.999023
79_1,999.999023,999.999023,999.999023,999.999023
80_1,999.999023,999.999023,999.999023,999.999023
81_1,999.999023,999.999023,999.999023,999.999023
82_1,999.999023,999.999023,999.999023,999.999023
83_1,999.999023,999.999023,999.999023,999.999023
84_1,999.999023,999.999023,999.999023,999.999023
85_1,999.999023,999.999023,999.999023,999.999023
86_1,999.999023,999.999023,999.999023,999.999023
87_1,999.999023,999.999023,999.999023,999.999023
88_1,999.999023,999.999023,999.999023,999.999023
89_1,999.999023,999.999023,999.999023,999.999023
90_1,999.999023,999.999023,999.999023,999.999023
91_1,999.999023,999.999023,999.999023,999.999023
92_1,999.999023,999.999023,999.999023,999.999023
93_1,999.999023,999.999023,999.999023,999.999023
94_1,999.999023,999.999023,999.999023,999.999023
95_1,999.999023,999.999023,999.999023,999.999023
96_1,999.999023,999.999023,999.999023,999.999023
97_1,999.999023,999.999023,999.999023,999.999023
98_1,999.999023,999.999023,999.999023,999.999023
99_1,999.999023,999.999023,999.999023,999.999023
1_2,999.999023,999.999023,999.999023,999.999023
2_2,999.999023,999.999023,999.999023,999.999023
3_2,999.999023,999.999023,999.999023,999.999023
4_2,999.999023,999.999023,999.999023,999.999023
5_2,999.999023,999.999023,999.999023,999.999023
6_2,999.999023,999.999023,999.999023,999.999023
7_2,999.999023,999.999023,999.999023,999.999023
8_2,999.999023,999.999023,0.000000,10.000000
9_2,999.999023,999.999023,999.999023,999.999023
10_2,999.999023,999.999023,999.999023,999.999023
11_2,999.999023,999.999023,999.999023,999.999023
12_2,999.999023,999.999023,999.999023,999.999023
13_2,999.999023,999.999023,999.999023,999.999023
14_2,999.999023,999.999023,999.999023,999.999023
15_2,999.999023,999.999023,999.999023,999.999023
16_2,999.999023,999.999023,999.999023,999.999023
17_2,999.999023,999.999023,999.999023,999.999023
18_2,999.999023,999.999023,999.999023,999.999023
19_2,999.999023,999.999023,999.999023,999.999023
20_2,999.999023,999.999023,999.999023,999.999023
21_2,999.999023,999.999023,999.999023,999.999023
22_2,999.999023,999.999023,999.999023,999.999023
23_2,999.999023,999.999023,999.999023,999.999023
24_2,999.999023,999.999023,999.999023,999.999023
25_2,999.999023,999.999023,999.999023,999.999023
26_2,999.999023,999.999023,999.999023,999.999023
27_2,999.999023,999.999023,999.999023,999.999023
28_2,999.999023,999.999023,999.999023,999.999023
29_2,999.999023,999.999023,999.999023,999.999023
30_2,999.999023,999.999023,999.999023,999.999023
31_2,999.999023,999.999023,999.999023,999.999023
32_2,999.999023,999.999023,999.999023,999.999023
33_2,999.999023,999.999023,999.999023,999.999023
34_2,999.999023,999.999023,999.999023,999.999023
