x,y,latitude,longitude
529928.1563,190764.6172  , '34.41303S', '19.32490E'
531787.1875,188232.2148	 , '34.43580S', '19.34522E'
529351.5625,189950.4766	 , '34.42038S', '19.31866E'
526894.5938,191560.6055	 , '34.40594S', '19.29188E'
535719,183846.2148	 , '34.47521S', '19.38818E'
534372.2813,185005.1719	 , '34.46481S', '19.37347E'
533035.8594,186128.1836	 , '34.45473S', '19.35888E'
531236.3125,187559.082	 , '34.44189S', '19.33925E'
528890.7813,189287.1367	 , '34.42638S', '19.31367E'
526477.2031,190919.2344	 , '34.41173S', '19.28736E'
524110.0469,192449.1992	 , '34.39799S', '19.26157E'
535127.5625,183175.0117	 , '34.48128S', '19.38177E'
533808.8125,184359.4766	 , '34.47065S', '19.36737E'
532507.2344,185520.2305	 , '34.46023S', '19.35316E'
530771.8906,186993.0117	 , '34.44700S', '19.33422E'
528506.0781,188760.9141	 , '34.43113S', '19.30950E'
526149.9375,190435.9492	 , '34.41609S', '19.28382E'
523819.125,192006.5469	 , '34.40199S', '19.25842E'
535807.6563,181295.0156	 , '34.49820S', '19.38925E'
534513.1875,182501.9844	 , '34.48737S', '19.37511E'
533217.7813,183712.8633	 , '34.47650S', '19.36096E'
531943.875,184907.6016	 , '34.46577S', '19.34705E'
530269.0781,186414.3633	 , '34.45223S', '19.32877E'
528085.7344,188215.793	 , '34.43606S', '19.30495E'
525791.8125,189931.0352	 , '34.42065S', '19.27994E'
523502.6953,191540.7344	 , '34.40620S', '19.25499E'
535159.4531,180608.0703	 , '34.50442S', '19.38222E'
533884.5625,181839.2266	 , '34.49336S', '19.36829E'
532611,183077.0195	 , '34.48225S', '19.35438E'
531360.9375,184305.0234	 , '34.47122S', '19.34072E'
529743.0156,185840.8281	 , '34.45742S', '19.32306E'
527641.5313,187669.0039	 , '34.44100S', '19.30013E'
525411.8359,189419.5313	 , '34.42527S', '19.27582E'
523167.6641,191065.3086	 , '34.41049S', '19.25136E'
535744.6875,178679.7852	 , '34.52178S', '19.38867E'
534493.875,179928.1406	 , '34.51057S', '19.37500E'
533240.8125,181186.4023	 , '34.49927S', '19.36131E'
531989.8438,182453.2266	 , '34.48789S', '19.34764E'
530762.2031,183715.0664	 , '34.47655S', '19.33423E'
529198.4063,185276.6016	 , '34.46252S', '19.31715E'
527177.5625,187125.8086	 , '34.44591S', '19.29510E'
525013.5547,188907.1055	 , '34.42990S', '19.27150E'
522817.1641,190586.0977	 , '34.41482S', '19.24756E'
535036.1875,177981.7891	 , '34.52810S', '19.38099E'
533809.4219,179258.0078	 , '34.51663S', '19.36757E'
532580.9531,180544.5273	 , '34.50508S', '19.35415E'
531353.7031,181841.3984	 , '34.49342S', '19.34074E'
530147.9375,183137.1641	 , '34.48178S', '19.32756E'
528636.0313,184721.6406	 , '34.46754S', '19.31105E'
526694.4063,186586.957	 , '34.45078S', '19.28986E'
524597.3047,188394.9297	 , '34.43453S', '19.26699E'
522451.3516,190104.5898	 , '34.41917S', '19.24360E'
534310.7656,177295.125	 , '34.53431S', '19.37311E'
533108.3125,178599.9766	 , '34.52259S', '19.35996E'
531904.9063,179914.3867	 , '34.51078S', '19.34681E'
530701.6719,181240.8242	 , '34.49886S', '19.33366E'
529517.3281,182569.8789	 , '34.48691S', '19.32072E'
528055.375,184174.8516	 , '34.47248S', '19.30475E'
526191.6719,186052.2305	 , '34.45561S', '19.28441E'
524162.8906,187883.6094	 , '34.43915S', '19.26228E'
522069.8984,189622.5938	 , '34.42352S', '19.23946E'
519977.8359,191264.3242	 , '34.40876S', '19.21666E'
533564.8438,176620.7383	 , '34.54041S', '19.36501E'
532388.7188,177953.0469	 , '34.52844S', '19.35215E'
531211.2656,179294.918	 , '34.51638S', '19.33928E'
530032.7969,180650.6563	 , '34.50420S', '19.32640E'
528870.2969,182012.7031	 , '34.49195S', '19.31369E'
527457.0469,183636.5039	 , '34.47735S', '19.29825E'
525670.0469,185522.8398	 , '34.46039S', '19.27875E'
523710.875,187374.8867	 , '34.44375S', '19.25737E'
521673.1016,189141.9492	 , '34.42786S', '19.23515E'
519623.6719,190814.2695	 , '34.41283S', '19.21282E'
532799.3906,175958.832	 , '34.54641S', '19.35670E'
531650.4219,177317.4609	 , '34.53419S', '19.34413E'
530499.9063,178686.5977	 , '34.52189S', '19.33155E'
529347.4063,180071.6797	 , '34.50944S', '19.31895E'
528207.9375,181466.6563	 , '34.49689S', '19.30650E'
526842.7031,183108.0938	 , '34.48213S', '19.29158E'
525131.0313,185000.7734	 , '34.46511S', '19.27289E'
523242.1719,186870.6289	 , '34.44830S', '19.25229E'
521261.5469,188663.5508	 , '34.43218S', '19.23069E'
519257,190364.4688	 , '34.41689S', '19.20884E'
517269.1875,191977.1406	 , '34.40239S', '19.18719E'
511566.3594,196447.8594	 , '34.36216S', '19.12510E'
509897.9922,197794.2227	 , '34.35004S', '19.10695E'
532021.1563,175313.5313	 , '34.55225S', '19.34825E'
530898.6094,176697.3711	 , '34.53981S', '19.33597E'
529774.7344,178092.8398	 , '34.52726S', '19.32368E'
528648.1719,179506.2188	 , '34.51455S', '19.31136E'
527531.8125,180932.7695	 , '34.50172S', '19.29915E'
526212.8438,182589.75	 , '34.48682S', '19.28474E'
524574.0313,184485.6641	 , '34.46977S', '19.26685E'
522755.2656,186369.9102	 , '34.45283S', '19.24700E'
520833.2344,188185.9453	 , '34.43650S', '19.22604E'
518874.8672,189913.875	 , '34.42096S', '19.20470E'
516924.2578,191554.5508	 , '34.40620S', '19.18344E'
511276.5938,196087.5039	 , '34.36541S', '19.12196E'
509597.0547,197474.3008	 , '34.35293S', '19.10369E'
531240.9063,174691.8906	 , '34.55788S', '19.33977E'
530142.9063,176098.8906	 , '34.54522S', '19.32776E'
