x,y,latitude,longitude
446150,182400 , '34.48745S', '18.41312E'
446350,182400 , '34.48746S', '18.41530E'
446550,182400 , '34.48747S', '18.41747E'
446750,182400 , '34.48749S', '18.41965E'
446950,182400 , '34.48750S', '18.42183E'
447150,182400 , '34.48751S', '18.42401E'
447350,182400 , '34.48752S', '18.42618E'
447550,182400 , '34.48753S', '18.42836E'
447750,182400 , '34.48754S', '18.43054E'
447950,182400 , '34.48755S', '18.43271E'
448150,182400 , '34.48756S', '18.43489E'
448350,182400 , '34.48757S', '18.43707E'
448550,182400 , '34.48758S', '18.43925E'
448750,182400 , '34.48759S', '18.44142E'
448950,182400 , '34.48760S', '18.44360E'
449150,182400 , '34.48761S', '18.44578E'
449350,182400 , '34.48762S', '18.44795E'
449550,182400 , '34.48763S', '18.45013E'
449750,182400 , '34.48764S', '18.45231E'
449950,182400 , '34.48765S', '18.45449E'
450150,182400 , '34.48766S', '18.45666E'
450350,182400 , '34.48766S', '18.45884E'
450550,182400 , '34.48767S', '18.46102E'
450750,182400 , '34.48768S', '18.46320E'
450950,182400 , '34.48769S', '18.46537E'
451150,182400 , '34.48770S', '18.46755E'
451350,182400 , '34.48771S', '18.46973E'
451550,182400 , '34.48772S', '18.47190E'
451750,182400 , '34.48773S', '18.47408E'
451950,182400 , '34.48774S', '18.47626E'
452150,182400 , '34.48775S', '18.47844E'
452350,182400 , '34.48776S', '18.48061E'
452550,182400 , '34.48777S', '18.48279E'
452750,182400 , '34.48778S', '18.48497E'
452950,182400 , '34.48779S', '18.48715E'
453150,182400 , '34.48780S', '18.48932E'
453350,182400 , '34.48781S', '18.49150E'
453550,182400 , '34.48781S', '18.49368E'
453750,182400 , '34.48782S', '18.49586E'
453950,182400 , '34.48783S', '18.49803E'
454150,182400 , '34.48784S', '18.50021E'
454350,182400 , '34.48785S', '18.50239E'
454550,182400 , '34.48786S', '18.50456E'
454750,182400 , '34.48787S', '18.50674E'
454950,182400 , '34.48788S', '18.50892E'
455150,182400 , '34.48789S', '18.51110E'
455350,182400 , '34.48789S', '18.51327E'
455550,182400 , '34.48790S', '18.51545E'
455750,182400 , '34.48791S', '18.51763E'
455950,182400 , '34.48792S', '18.51981E'
456150,182400 , '34.48793S', '18.52198E'
456350,182400 , '34.48794S', '18.52416E'
456550,182400 , '34.48795S', '18.52634E'
456750,182400 , '34.48795S', '18.52851E'
456950,182400 , '34.48796S', '18.53069E'
457150,182400 , '34.48797S', '18.53287E'
457350,182400 , '34.48798S', '18.53505E'
457550,182400 , '34.48799S', '18.53722E'
457750,182400 , '34.48800S', '18.53940E'
457950,182400 , '34.48800S', '18.54158E'
458150,182400 , '34.48801S', '18.54376E'
458350,182400 , '34.48802S', '18.54593E'
458550,182400 , '34.48803S', '18.54811E'
458750,182400 , '34.48804S', '18.55029E'
458950,182400 , '34.48804S', '18.55246E'
459150,182400 , '34.48805S', '18.55464E'
459350,182400 , '34.48806S', '18.55682E'
459550,182400 , '34.48807S', '18.55900E'
459750,182400 , '34.48808S', '18.56117E'
459950,182400 , '34.48808S', '18.56335E'
460150,182400 , '34.48809S', '18.56553E'
460350,182400 , '34.48810S', '18.56771E'
460550,182400 , '34.48811S', '18.56988E'
460750,182400 , '34.48811S', '18.57206E'
460950,182400 , '34.48812S', '18.57424E'
461150,182400 , '34.48813S', '18.57642E'
461350,182400 , '34.48814S', '18.57859E'
461550,182400 , '34.48814S', '18.58077E'
461750,182400 , '34.48815S', '18.58295E'
461950,182400 , '34.48816S', '18.58512E'
462150,182400 , '34.48817S', '18.58730E'
462350,182400 , '34.48817S', '18.58948E'
462550,182400 , '34.48818S', '18.59166E'
462750,182400 , '34.48819S', '18.59383E'
462950,182400 , '34.48820S', '18.59601E'
463150,182400 , '34.48820S', '18.59819E'
463350,182400 , '34.48821S', '18.60037E'
463550,182400 , '34.48822S', '18.60254E'
463750,182400 , '34.48822S', '18.60472E'
463950,182400 , '34.48823S', '18.60690E'
464150,182400 , '34.48824S', '18.60908E'
464350,182400 , '34.48824S', '18.61125E'
464550,182400 , '34.48825S', '18.61343E'
464750,182400 , '34.48826S', '18.61561E'
464950,182400 , '34.48827S', '18.61778E'
465150,182400 , '34.48827S', '18.61996E'
465350,182400 , '34.48828S', '18.62214E'
465550,182400 , '34.48829S', '18.62432E'
465750,182400 , '34.48829S', '18.62649E'
465950,182400 , '34.48830S', '18.62867E'
466150,182400 , '34.48831S', '18.63085E'
466350,182400 , '34.48831S', '18.63303E'
466550,182400 , '34.48832S', '18.63520E'
466750,182400 , '34.48833S', '18.63738E'
466950,182400 , '34.48833S', '18.63956E'
467150,182400 , '34.48834S', '18.64174E'
467350,182400 , '34.48834S', '18.64391E'
467550,182400 , '34.48835S', '18.64609E'
467750,182400 , '34.48836S', '18.64827E'
467950,182400 , '34.48836S', '18.65044E'
468150,182400 , '34.48837S', '18.65262E'
468350,182400 , '34.48838S', '18.65480E'
468550,182400 , '34.48838S', '18.65698E'
468750,182400 , '34.48839S', '18.65915E'
468950,182400 , '34.48839S', '18.66133E'
469150,182400 , '34.48840S', '18.66351E'
469350,182400 , '34.48841S', '18.66569E'
469550,182400 , '34.48841S', '18.66786E'
469750,182400 , '34.48842S', '18.67004E'
469950,182400 , '34.48842S', '18.67222E'
470150,182400 , '34.48843S', '18.67440E'
470350,182400 , '34.48844S', '18.67657E'
470550,182400 , '34.48844S', '18.67875E'
470750,182400 , '34.48845S', '18.68093E'
470950,182400 , '34.48845S', '18.68311E'
471150,182400 , '34.48846S', '18.68528E'
471350,182400 , '34.48846S', '18.68746E'
471550,182400 , '34.48847S', '18.68964E'
471750,182400 , '34.48847S', '18.69181E'
471950,182400 , '34.48848S', '18.69399E'
472150,182400 , '34.48849S', '18.69617E'
472350,182400 , '34.48849S', '18.69835E'
472550,182400 , '34.48850S', '18.70052E'
472750,182400 , '34.48850S', '18.70270E'
472950,182400 , '34.48851S', '18.70488E'
473150,182400 , '34.48851S', '18.70706E'
473350,182400 , '34.48852S', '18.70923E'
473550,182400 , '34.48852S', '18.71141E'
473750,182400 , '34.48853S', '18.71359E'
473950,182400 , '34.48853S', '18.71577E'
474150,182400 , '34.48854S', '18.71794E'
474350,182400 , '34.48854S', '18.72012E'
474550,182400 , '34.48855S', '18.72230E'
474750,182400 , '34.48855S', '18.72447E'
474950,182400 , '34.48856S', '18.72665E'
475150,182400 , '34.48856S', '18.72883E'
475350,182400 , '34.48857S', '18.73101E'
475550,182400 , '34.48857S', '18.73318E'
475750,182400 , '34.48858S', '18.73536E'
475950,182400 , '34.48858S', '18.73754E'
476150,182400 , '34.48859S', '18.73972E'
476350,182400 , '34.48859S', '18.74189E'
476550,182400 , '34.48860S', '18.74407E'
476750,182400 , '34.48860S', '18.74625E'
476950,182400 , '34.48860S', '18.74843E'
477150,182400 , '34.48861S', '18.75060E'
477350,182400 , '34.48861S', '18.75278E'
477550,182400 , '34.48862S', '18.75496E'
477750,182400 , '34.48862S', '18.75714E'
477950,182400 , '34.48863S', '18.75931E'
478150,182400 , '34.48863S', '18.76149E'
478350,182400 , '34.48863S', '18.76367E'
478550,182400 , '34.48864S', '18.76584E'
478750,182400 , '34.48864S', '18.76802E'
478950,182400 , '34.48865S', '18.77020E'
479150,182400 , '34.48865S', '18.77238E'
479350,182400 , '34.48866S', '18.77455E'
479550,182400 , '34.48866S', '18.77673E'
479750,182400 , '34.48866S', '18.77891E'
479950,182400 , '34.48867S', '18.78109E'
480150,182400 , '34.48867S', '18.78326E'
480350,182400 , '34.48867S', '18.78544E'
480550,182400 , '34.48868S', '18.78762E'
480750,182400 , '34.48868S', '18.78980E'
480950,182400 , '34.48869S', '18.79197E'
481150,182400 , '34.48869S', '18.79415E'
481350,182400 , '34.48869S', '18.79633E'
481550,182400 , '34.48870S', '18.79851E'
481750,182400 , '34.48870S', '18.80068E'
481950,182400 , '34.48870S', '18.80286E'
482150,182400 , '34.48871S', '18.80504E'
482350,182400 , '34.48871S', '18.80722E'
482550,182400 , '34.48871S', '18.80939E'
482750,182400 , '34.48872S', '18.81157E'
482950,182400 , '34.48872S', '18.81375E'
483150,182400 , '34.48872S', '18.81592E'
483350,182400 , '34.48873S', '18.81810E'
483550,182400 , '34.48873S', '18.82028E'
483750,182400 , '34.48873S', '18.82246E'
483950,182400 , '34.48874S', '18.82463E'
484150,182400 , '34.48874S', '18.82681E'
484350,182400 , '34.48874S', '18.82899E'
484550,182400 , '34.48875S', '18.83117E'
484750,182400 , '34.48875S', '18.83334E'
484950,182400 , '34.48875S', '18.83552E'
485150,182400 , '34.48876S', '18.83770E'
485350,182400 , '34.48876S', '18.83988E'
485550,182400 , '34.48876S', '18.84205E'
485750,182400 , '34.48876S', '18.84423E'
485950,182400 , '34.48877S', '18.84641E'
486150,182400 , '34.48877S', '18.84859E'
486350,182400 , '34.48877S', '18.85076E'
486550,182400 , '34.48877S', '18.85294E'
486750,182400 , '34.48878S', '18.85512E'
486950,182400 , '34.48878S', '18.85730E'
487150,182400 , '34.48878S', '18.85947E'
487350,182400 , '34.48878S', '18.86165E'
487550,182400 , '34.48879S', '18.86383E'
487750,182400 , '34.48879S', '18.86600E'
487950,182400 , '34.48879S', '18.86818E'
488150,182400 , '34.48879S', '18.87036E'
488350,182400 , '34.48880S', '18.87254E'
488550,182400 , '34.48880S', '18.87471E'
488750,182400 , '34.48880S', '18.87689E'
488950,182400 , '34.48880S', '18.87907E'
489150,182400 , '34.48881S', '18.88125E'
489350,182400 , '34.48881S', '18.88342E'
489550,182400 , '34.48881S', '18.88560E'
489750,182400 , '34.48881S', '18.88778E'
489950,182400 , '34.48881S', '18.88996E'
446150,182600 , '34.48565S', '18.41313E'
446350,182600 , '34.48566S', '18.41531E'
446550,182600 , '34.48567S', '18.41749E'
446750,182600 , '34.48568S', '18.41966E'
446950,182600 , '34.48569S', '18.42184E'
447150,182600 , '34.48570S', '18.42402E'
447350,182600 , '34.48571S', '18.42619E'
447550,182600 , '34.48572S', '18.42837E'
447750,182600 , '34.48573S', '18.43055E'
447950,182600 , '34.48574S', '18.43273E'
448150,182600 , '34.48575S', '18.43490E'
448350,182600 , '34.48576S', '18.43708E'
448550,182600 , '34.48577S', '18.43926E'
448750,182600 , '34.48578S', '18.44144E'
448950,182600 , '34.48579S', '18.44361E'
449150,182600 , '34.48580S', '18.44579E'
449350,182600 , '34.48581S', '18.44797E'
449550,182600 , '34.48582S', '18.45014E'
449750,182600 , '34.48583S', '18.45232E'
449950,182600 , '34.48584S', '18.45450E'
450150,182600 , '34.48585S', '18.45668E'
450350,182600 , '34.48586S', '18.45885E'
450550,182600 , '34.48587S', '18.46103E'
450750,182600 , '34.48588S', '18.46321E'
450950,182600 , '34.48589S', '18.46538E'
451150,182600 , '34.48590S', '18.46756E'
451350,182600 , '34.48591S', '18.46974E'
451550,182600 , '34.48592S', '18.47192E'
451750,182600 , '34.48593S', '18.47409E'
451950,182600 , '34.48594S', '18.47627E'
452150,182600 , '34.48595S', '18.47845E'
452350,182600 , '34.48596S', '18.48063E'
452550,182600 , '34.48597S', '18.48280E'
452750,182600 , '34.48597S', '18.48498E'
452950,182600 , '34.48598S', '18.48716E'
453150,182600 , '34.48599S', '18.48933E'
453350,182600 , '34.48600S', '18.49151E'
453550,182600 , '34.48601S', '18.49369E'
453750,182600 , '34.48602S', '18.49587E'
453950,182600 , '34.48603S', '18.49804E'
454150,182600 , '34.48604S', '18.50022E'
454350,182600 , '34.48605S', '18.50240E'
454550,182600 , '34.48606S', '18.50457E'
454750,182600 , '34.48606S', '18.50675E'
454950,182600 , '34.48607S', '18.50893E'
455150,182600 , '34.48608S', '18.51111E'
455350,182600 , '34.48609S', '18.51328E'
455550,182600 , '34.48610S', '18.51546E'
455750,182600 , '34.48611S', '18.51764E'
455950,182600 , '34.48612S', '18.51982E'
456150,182600 , '34.48613S', '18.52199E'
456350,182600 , '34.48613S', '18.52417E'
456550,182600 , '34.48614S', '18.52635E'
456750,182600 , '34.48615S', '18.52852E'
456950,182600 , '34.48616S', '18.53070E'
457150,182600 , '34.48617S', '18.53288E'
457350,182600 , '34.48618S', '18.53506E'
457550,182600 , '34.48618S', '18.53723E'
457750,182600 , '34.48619S', '18.53941E'
457950,182600 , '34.48620S', '18.54159E'
458150,182600 , '34.48621S', '18.54377E'
458350,182600 , '34.48622S', '18.54594E'
458550,182600 , '34.48622S', '18.54812E'
458750,182600 , '34.48623S', '18.55030E'
458950,182600 , '34.48624S', '18.55247E'
459150,182600 , '34.48625S', '18.55465E'
459350,182600 , '34.48626S', '18.55683E'
459550,182600 , '34.48626S', '18.55901E'
459750,182600 , '34.48627S', '18.56118E'
459950,182600 , '34.48628S', '18.56336E'
460150,182600 , '34.48629S', '18.56554E'
460350,182600 , '34.48630S', '18.56772E'
460550,182600 , '34.48630S', '18.56989E'
460750,182600 , '34.48631S', '18.57207E'
460950,182600 , '34.48632S', '18.57425E'
461150,182600 , '34.48633S', '18.57642E'
461350,182600 , '34.48633S', '18.57860E'
461550,182600 , '34.48634S', '18.58078E'
461750,182600 , '34.48635S', '18.58296E'
461950,182600 , '34.48636S', '18.58513E'
462150,182600 , '34.48636S', '18.58731E'
462350,182600 , '34.48637S', '18.58949E'
462550,182600 , '34.48638S', '18.59167E'
462750,182600 , '34.48639S', '18.59384E'
462950,182600 , '34.48639S', '18.59602E'
463150,182600 , '34.48640S', '18.59820E'
463350,182600 , '34.48641S', '18.60037E'
463550,182600 , '34.48641S', '18.60255E'
463750,182600 , '34.48642S', '18.60473E'
463950,182600 , '34.48643S', '18.60691E'
464150,182600 , '34.48643S', '18.60908E'
464350,182600 , '34.48644S', '18.61126E'
464550,182600 , '34.48645S', '18.61344E'
464750,182600 , '34.48646S', '18.61562E'
464950,182600 , '34.48646S', '18.61779E'
465150,182600 , '34.48647S', '18.61997E'
465350,182600 , '34.48648S', '18.62215E'
465550,182600 , '34.48648S', '18.62432E'
465750,182600 , '34.48649S', '18.62650E'
465950,182600 , '34.48650S', '18.62868E'
466150,182600 , '34.48650S', '18.63086E'
466350,182600 , '34.48651S', '18.63303E'
466550,182600 , '34.48652S', '18.63521E'
466750,182600 , '34.48652S', '18.63739E'
466950,182600 , '34.48653S', '18.63957E'
467150,182600 , '34.48654S', '18.64174E'
467350,182600 , '34.48654S', '18.64392E'
467550,182600 , '34.48655S', '18.64610E'
467750,182600 , '34.48655S', '18.64827E'
467950,182600 , '34.48656S', '18.65045E'
